province,kind,candidate_count,current_identity_verified,endpoint_verified,collection_enabled,last_success_count,status,denominator_status
福建,property_exchange,2,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
福建,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
福建,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
江西,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
江西,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
江西,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
江西,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
山东,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
山东,property_exchange,2,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
山东,data_exchange,2,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
山东,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
河南,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
河南,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
河南,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
河南,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
湖北,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
湖北,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
湖北,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
湖北,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
湖南,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
湖南,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
湖南,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
湖南,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
广东,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
广东,property_exchange,2,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
广东,data_exchange,2,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
广东,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
广西,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
广西,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
广西,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
广西,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
海南,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
海南,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
海南,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
海南,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
重庆,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
重庆,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
重庆,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
重庆,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
四川,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
四川,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
四川,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
四川,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
贵州,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
贵州,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
贵州,data_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
贵州,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
云南,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
云南,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
云南,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
云南,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
西藏,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
西藏,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
西藏,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
西藏,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
陕西,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
陕西,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
陕西,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
陕西,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
甘肃,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
甘肃,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
甘肃,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
甘肃,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
青海,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
青海,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
青海,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
青海,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
宁夏,police,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
宁夏,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
宁夏,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
宁夏,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
新疆,police,2,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
新疆,property_exchange,1,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
新疆,data_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
新疆,technology_exchange,0,0,0,0,0,待补全并验证,公安按区划逐级核实；交易机构分母待普查
